Time,Level,Module,Message,Screenshot
10:37:46,INFO,Level1_tut,to home fixture initialized.,
10:38:26,INFO,Level1_tut,[to_home] Attempt 1/4 to go to home screen,
10:38:26,INFO,Level1_tut,[to_home] Sent BACK keyevent.,
10:38:32,INFO,Level1_tut,[to_home] Already at Home screen.,
10:38:34,INFO,Level1_tut,"[to_home] Screenshot taken: {'screen': '1754883514734.jpg', 'resolution': (720, 1280)}",
10:38:35,WARNING,Level1_tut,[to_home] Failed to create marked screenshot: Can't convert object to 'str' for 'filename',"=HYPERLINK(""file:///D:/FSTest/LogFiles/screenshot/2025-08-11_10h38.png"", ""View"")"
10:38:36,INFO,TestLevel1_tut,[to_campaign_select_lv] Clicking Campaign button...,
10:38:41,INFO,TestLevel1_tut,[to_campaign_select_lv] ✓ Campaign popup opened successfully,
10:38:48,INFO,Level1_tut,[to_home] Already at Home screen.,
