Time,Level,Module,Message,Screenshot
17:52:32,INFO,PopupLeaderboard,to home fixture initialized.,
17:52:32,INFO,PopupLeaderboard,[to_home] Preparing to go home before test: TestPopupLeaderboard,
17:52:35,INFO,PopupLeaderboard,[to_home] Already at Home screen.,
17:52:35,INFO,setup method,Setting up PopupLeaderboard test environment...,
17:52:38,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Testing Player Campaign tab...,
17:53:08,INFO,tests:test_PopupLeaderboard.py:TestPopupLeaderboard:test_player_campaign_tab,Checking player 1 ...,
17:53:23,INFO,PopupLeaderboard,[to_home] Sent BACK keyevent.,
17:53:24,INFO,PopupLeaderboard,[to_home] Reached Home screen.,
