Time,Level,Module,Message,Screenshot
13:45:01,INFO,PopupMilitary,to home fixture initialized.,
13:45:01,INFO,PopupMilitary,[to_home] Preparing to go home before test: TestPopupMilitary,
13:45:04,INFO,PopupMilitary,[to_home] Already at Home screen.,
13:45:04,INFO,setup method,Setting up PopupMilitary test environment...,
13:45:04,INFO,setup method,Navigating to Military popup...,
13:45:23,INFO,setup method,Successfully navigated to Military popup.,
13:45:23,INFO,setup method,PopupMilitary test environment setup complete.,
13:45:30,INFO,PopupMilitary,[to_home] Sent BACK keyevent.,
13:45:32,INFO,PopupMilitary,[to_home] Reached Home screen.,
